statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-BUCH-LAUB;Buche und sonstiges Laubholz;11006,7;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;1999;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-FICH-UA;Fichte, Tanne, Douglasie und sonstiges Nadelholz;18665,0;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-KIEF-LAER;Kiefer und Lärche;12100,1;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-KIEF-LAER;Kiefer und Lärche;11995,1;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-KIEF-LAER;Kiefer und Lärche;13293,1;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-FICH-UA;Fichte, Tanne, Douglasie und sonstiges Nadelholz;47834,1;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-EICH-REIC;Eiche und Roteiche;1807,5;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2017;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;;Insgesamt;53490,7;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-FICH-UA;Fichte, Tanne, Douglasie und sonstiges Nadelholz;29485,6;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;;Insgesamt;53207,4;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-EICH-REIC;Eiche und Roteiche;2135,1;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2011;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-FICH-UA;Fichte, Tanne, Douglasie und sonstiges Nadelholz;28098,6;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-BUCH-LAUB;Buche und sonstiges Laubholz;11823,5;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-EICH-REIC;Eiche und Roteiche;2067,7;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2002;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-KIEF-LAER;Kiefer und Lärche;9200,5;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2008;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-BUCH-LAUB;Buche und sonstiges Laubholz;10525,4;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2000;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-BUCH-LAUB;Buche und sonstiges Laubholz;8747,5;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;1998;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;;Insgesamt;39053,0;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;1999;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-EICH-REIC;Eiche und Roteiche;1456,0;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-KIEF-LAER;Kiefer und Lärche;10058,2;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-KIEF-LAER;Kiefer und Lärche;12279,1;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2025;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-KIEF-LAER;Kiefer und Lärche;13150,2;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2002;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;;Insgesamt;42379,9;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2025;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;;Insgesamt;57261,4;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-EICH-REIC;Eiche und Roteiche;1801,9;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2008;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-FICH-UA;Fichte, Tanne, Douglasie und sonstiges Nadelholz;31575,8;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;;Insgesamt;82957,0;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;;Insgesamt;62290,1;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2004;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-FICH-UA;Fichte, Tanne, Douglasie und sonstiges Nadelholz;33475,0;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;1998;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-KIEF-LAER;Kiefer und Lärche;9238,0;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-FICH-UA;Fichte, Tanne, Douglasie und sonstiges Nadelholz;46614,2;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-EICH-REIC;Eiche und Roteiche;2031,5;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2000;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-FICH-UA;Fichte, Tanne, Douglasie und sonstiges Nadelholz;34265,0;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-BUCH-LAUB;Buche und sonstiges Laubholz;10643,7;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-EICH-REIC;Eiche und Roteiche;2211,3;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2004;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-BUCH-LAUB;Buche und sonstiges Laubholz;8668,4;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-KIEF-LAER;Kiefer und Lärche;13532,8;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;1998;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-FICH-UA;Fichte, Tanne, Douglasie und sonstiges Nadelholz;20332,0;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2017;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-KIEF-LAER;Kiefer und Lärche;12016,5;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-BUCH-LAUB;Buche und sonstiges Laubholz;9976,8;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-EICH-REIC;Eiche und Roteiche;1853,3;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;;Insgesamt;54356,2;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-FICH-UA;Fichte, Tanne, Douglasie und sonstiges Nadelholz;39422,7;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2000;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-EICH-REIC;Eiche und Roteiche;1677,1;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;;Insgesamt;54418,4;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-FICH-UA;Fichte, Tanne, Douglasie und sonstiges Nadelholz;26834,4;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-FICH-UA;Fichte, Tanne, Douglasie und sonstiges Nadelholz;30445,3;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2011;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-BUCH-LAUB;Buche und sonstiges Laubholz;12244,2;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2008;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-EICH-REIC;Eiche und Roteiche;2088,9;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;;Insgesamt;64550,3;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2004;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-EICH-REIC;Eiche und Roteiche;2016,7;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-BUCH-LAUB;Buche und sonstiges Laubholz;11484,1;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-BUCH-LAUB;Buche und sonstiges Laubholz;10980,6;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-KIEF-LAER;Kiefer und Lärche;8896,2;1000 cbm;HES001;Holzeinschlag;e
